AV CASTILLA LA MANCHA	Avenida Castilla-La Mancha
CL ALCALA	Calle Alcalá
CL ANTONIO MACHADO	Calle Antonio Machado
CL BARRANCO	Calle Barranco
CL BARTOLOME E. MURILLO	Calle Bartolomé E. Murillo
CL BERNARDINO PEREZ INIESTA	Calle Bernardino Pérez Iniesta
CL CALVARIO	Calle Calvario
CR ALBACETE	Calle Carretera de Albacete
CL CERVANTES	Calle Cervantes
CL VICENTE FERRER	Calle Cervantes
CL CLARA CAMPOAMOR	Calle Clara Campoamor
CL CONTRERAS	Calle Contreras
CL CRISTOBAL COLON	Calle Cristóbal Colón
CL DIEGO VELAZQUEZ	Calle Diego Velázquez
CL DOCTOR FERRANDIZ	Calle Doctor Ferrandis
CL DOCTOR FLEMING	Calle Doctor Fleming
CL DON PEDRO	Calle Don Pedro
CL DOS DE MAYO	Calle Dos de Mayo
CL DISEMINADOS	Calle Ermita
CL ERMITA	Calle Ermita
CL FRONTON	Calle Ermita
CL FRANCISCO DE GOYA	Calle Francisco de Goya
CL FUENSANTA	Calle Fuensanta
CL ISAAC PERAL	Calle Isaac Peral
CL LOPE DE VEGA	Calle Lope de Vega
CL MANUEL DE FALLA	Calle Manuel de Falla
CL MAYOR	Calle Mayor
CL MIGUEL SORIANO	Calle Miguel Soriano
CL MINISTRO MONARES	Calle Ministro Monares
CL NORTE	Calle Norte
CL PEÑUELA	Calle Peñuela
CL PONIENTE	Calle Poniente
CL PROYECTO 13	Calle Proyecto 13
CL REAL	Calle Real
CL SAN CRISTOBAL	Calle San Cristóbal
CL SAN MIGUEL	Calle San Miguel
CL TENIENTE GOMEZ	Calle Teniente Gómez
CL TORILEJO	Calle Torilejo
CL VALENCIA	Calle Valencia
CL VALERA	Calle Valera
CL IBARRA	Calle Ybarra
CL CRUZ	Calle la Cruz
CL FUENTE	Calle la Fuente
PZ CONSTITUCION	Plaza de la Constitución
