AV ALBACETE	Avenida Albacete
AV PAZ DE LA	Avenida la Paz
CL ALPERA	Calle Alpera
CL ARENAL	Calle Arenal
CL ARRABAL	Calle Arrabal
CL ARRAMBLILLA	Calle Arramblilla
CL CARCELEN	Calle Carcelen
CJ DE BRU	Calle Carcelen
CL CERRO DE LA CRUZ	Calle Carcelén
CL COMTE RUBEN	Calle Comandante Rubén
CL CUESTA DE ENMEDIO	Calle Cuesta de la Iglesia
CL CUESTA IGLESIA	Calle Cuesta de la Iglesia
CL DOCTOR FLEMING	Calle Doctor Fleming
CL FRAGUAS	Calle Fraguas
CL HONTANARES	Calle Fraguas
CL FUENTE NUEVA	Calle Fuente Nueva
CL JACINTO BENAVENTE	Calle Jacinto Benavente
CL NUEVA	Calle Nueva
CL LAS HIGUERAS	Calle Nueva
CL PEÑICAS	Calle Peñicas
CL POETA LILLO	Calle Poeta Lillo
CL SANTA CECILIA	Calle Poeta Lillo
CL PRENSA	Calle Prensa
CL RAMON Y CAJAL	Calle Ramón y Cajal
CL DISEMINADOS	Calle San Isidro
CL SAN ISIDRO	Calle San Isidro
CL TRULLO	Calle Trullo
CL LOS ALMENDROS	Calle los Almendros
CL JOSE ANTONIO	Calle los Barrancos
CL BARRANCO	Calle los Barrancos
CJ ROYO	Callejón Royo
CM CEMENTERIO	Camino Cementerio
CR AYORA	Carretera de Ayora
PZ MAYOR	Plaza Mayor
PZ VIRGEN DE LA	Plaza la Virgen
